Data Series,Date,CPI_Value,PPI_Value
Bread & Cereals,2014 Apr ,93.684,80.333
Bread & Cereals,2014 Aug ,93.827,80.298
Bread & Cereals,2014 Dec ,94.538,80.196
Bread & Cereals,2014 Feb ,93.403,80.288
Bread & Cereals,2014 Jan ,93.272,80.298
Bread & Cereals,2014 Jul ,94.013,80.301
Bread & Cereals,2014 Jun ,93.996,80.312
Bread & Cereals,2014 Mar ,93.818,80.344
Bread & Cereals,2014 May ,94.411,80.342
Bread & Cereals,2014 Nov ,94.746,80.326
Bread & Cereals,2014 Oct ,95.054,80.329
Bread & Cereals,2014 Sep ,94.692,80.312
Bread & Cereals,2015 Apr ,95.618,81.124
Bread & Cereals,2015 Aug ,94.976,81.122
Bread & Cereals,2015 Dec ,95.536,81.265
Bread & Cereals,2015 Feb ,94.513,80.815
Bread & Cereals,2015 Jan ,95.54,80.578
Bread & Cereals,2015 Jul ,95.163,81.104
Bread & Cereals,2015 Jun ,95.618,81.116
Bread & Cereals,2015 Mar ,95.432,81.108
Bread & Cereals,2015 May ,95.519,82.09
Bread & Cereals,2015 Nov ,95.657,81.27
Bread & Cereals,2015 Oct ,95.478,81.277
Bread & Cereals,2015 Sep ,94.95,81.268
Bread & Cereals,2016 Apr ,96.927,81.349
Bread & Cereals,2016 Aug ,95.934,82.124
Bread & Cereals,2016 Dec ,96.612,82.631
Bread & Cereals,2016 Feb ,96.035,81.402
Bread & Cereals,2016 Jan ,96.255,81.215
Bread & Cereals,2016 Jul ,96.224,82.101
Bread & Cereals,2016 Jun ,96.167,82.136
Bread & Cereals,2016 Mar ,96.538,81.357
Bread & Cereals,2016 May ,96.636,81.758
Bread & Cereals,2016 Nov ,96.957,82.594
Bread & Cereals,2016 Oct ,97.009,82.178
Bread & Cereals,2016 Sep ,97.131,82.154
Bread & Cereals,2017 Apr ,97.266,84.278
Bread & Cereals,2017 Aug ,96.494,84.012
Bread & Cereals,2017 Dec ,96.997,84.063
Bread & Cereals,2017 Feb ,97.166,83.668
Bread & Cereals,2017 Jan ,96.643,83.669
Bread & Cereals,2017 Jul ,97.287,84.033
Bread & Cereals,2017 Jun ,96.83,84.043
Bread & Cereals,2017 Mar ,97.166,84.26
Bread & Cereals,2017 May ,97.682,84.02
Bread & Cereals,2017 Nov ,97.9,84.067
Bread & Cereals,2017 Oct ,97.637,84.069
Bread & Cereals,2017 Sep ,96.461,84.015
Bread & Cereals,2018 Apr ,97.76,84.307
Bread & Cereals,2018 Aug ,98.712,84.925
Bread & Cereals,2018 Dec ,99.299,84.952
Bread & Cereals,2018 Feb ,97.1,84.151
Bread & Cereals,2018 Jan ,96.89,84.143
Bread & Cereals,2018 Jul ,98.774,84.909
Bread & Cereals,2018 Jun ,98.899,84.353
Bread & Cereals,2018 Mar ,97.821,84.13
Bread & Cereals,2018 May ,98.686,84.347
Bread & Cereals,2018 Nov ,99.441,84.943
Bread & Cereals,2018 Oct ,99.35,84.966
Bread & Cereals,2018 Sep ,99.279,84.93
Bread & Cereals,2019 Apr ,99.856,84.962
Bread & Cereals,2019 Aug ,99.89,85.304
Bread & Cereals,2019 Dec ,100.817,87.472
Bread & Cereals,2019 Feb ,99.719,84.9
Bread & Cereals,2019 Jan ,99.721,84.905
Bread & Cereals,2019 Jul ,99.463,85.274
Bread & Cereals,2019 Jun ,99.955,85.159
Bread & Cereals,2019 Mar ,99.37,85.063
Bread & Cereals,2019 May ,99.718,84.971
Bread & Cereals,2019 Nov ,100.784,87.477
Bread & Cereals,2019 Oct ,100.147,86.42
Bread & Cereals,2019 Sep ,100.561,85.295
Bread & Cereals,2020 Apr ,102.133,88.357
Bread & Cereals,2020 Aug ,102.049,88.098
Bread & Cereals,2020 Dec ,101.542,88.096
Bread & Cereals,2020 Feb ,101.47,87.527
Bread & Cereals,2020 Jan ,100.338,87.461
Bread & Cereals,2020 Jul ,102.659,88.142
Bread & Cereals,2020 Jun ,102.95,88.219
Bread & Cereals,2020 Mar ,101.405,88.307
Bread & Cereals,2020 May ,102.918,88.263
Bread & Cereals,2020 Nov ,101.553,88.136
Bread & Cereals,2020 Oct ,102.15,88.148
Bread & Cereals,2020 Sep ,101.994,88.092
Bread & Cereals,2021 Apr ,102.363,88.181
Bread & Cereals,2021 Aug ,102.183,88.214
Bread & Cereals,2021 Dec ,103.131,88.695
Bread & Cereals,2021 Feb ,102.02,88.157
Bread & Cereals,2021 Jan ,102.05,88.087
Bread & Cereals,2021 Jul ,102.457,88.227
Bread & Cereals,2021 Jun ,102.541,88.195
Bread & Cereals,2021 Mar ,102.068,88.19
Bread & Cereals,2021 May ,102.595,88.185
Bread & Cereals,2021 Nov ,103.348,88.654
Bread & Cereals,2021 Oct ,103.776,88.48
Bread & Cereals,2021 Sep ,102.568,88.439
Bread & Cereals,2022 Apr ,105.591,90.825
Bread & Cereals,2022 Aug ,107.201,92.922
Bread & Cereals,2022 Dec ,110.517,93.313
Bread & Cereals,2022 Feb ,103.513,89.767
Bread & Cereals,2022 Jan ,103.252,89.437
Bread & Cereals,2022 Jul ,107.347,92.519
Bread & Cereals,2022 Jun ,106.608,91.676
Bread & Cereals,2022 Mar ,104.319,90.382
Bread & Cereals,2022 May ,105.391,90.979
Bread & Cereals,2022 Nov ,109.772,93.367
Bread & Cereals,2022 Oct ,108.941,92.984
Bread & Cereals,2022 Sep ,107.746,92.659
Bread & Cereals,2023 Apr ,113.187,99.807
Bread & Cereals,2023 Aug ,114.533,100.013
Bread & Cereals,2023 Dec ,115.903,101.236
Bread & Cereals,2023 Feb ,111.66,99.118
Bread & Cereals,2023 Jan ,111.304,99.118
Bread & Cereals,2023 Jul ,113.924,100.013
Bread & Cereals,2023 Jun ,113.704,99.811
Bread & Cereals,2023 Mar ,112.381,99.811
Bread & Cereals,2023 May ,113.84,99.811
Bread & Cereals,2023 Nov ,115.968,101.236
Bread & Cereals,2023 Oct ,115.907,100.013
Bread & Cereals,2023 Sep ,114.763,100.013
Bread & Cereals,2024 Apr ,117.152,100.939
Bread & Cereals,2024 Aug ,118.12,101.042
Bread & Cereals,2024 Feb ,116.501,100.939
Bread & Cereals,2024 Jan ,116.593,100.939
Bread & Cereals,2024 Jul ,118.209,101.042
Bread & Cereals,2024 Jun ,117.849,101.046
Bread & Cereals,2024 Mar ,116.644,100.942
Bread & Cereals,2024 May ,117.711,101.042
Bread & Cereals,2024 Sep ,118.818,101.042
Dairy Products & Eggs,2014 Apr ,93.467,73.766
Dairy Products & Eggs,2014 Aug ,94.245,71.93
Dairy Products & Eggs,2014 Dec ,96.725,67.857
Dairy Products & Eggs,2014 Feb ,92.015,73.965
Dairy Products & Eggs,2014 Jan ,91.812,73.925
Dairy Products & Eggs,2014 Jul ,94.232,71.871
Dairy Products & Eggs,2014 Jun ,93.558,73.794
Dairy Products & Eggs,2014 Mar ,92.722,73.683
Dairy Products & Eggs,2014 May ,94.017,73.635
Dairy Products & Eggs,2014 Nov ,95.637,72.205
Dairy Products & Eggs,2014 Oct ,95.137,72.258
Dairy Products & Eggs,2014 Sep ,94.696,72.081
Dairy Products & Eggs,2015 Apr ,95.513,69.746
Dairy Products & Eggs,2015 Aug ,95.617,69.147
Dairy Products & Eggs,2015 Dec ,96.748,65.916
Dairy Products & Eggs,2015 Feb ,95.595,66.795
Dairy Products & Eggs,2015 Jan ,95.991,66.299
Dairy Products & Eggs,2015 Jul ,96.01,68.781
Dairy Products & Eggs,2015 Jun ,95.149,69.462
Dairy Products & Eggs,2015 Mar ,95.247,68.153
Dairy Products & Eggs,2015 May ,95.201,68.335
Dairy Products & Eggs,2015 Nov ,96.746,66.075
Dairy Products & Eggs,2015 Oct ,96.484,66.364
Dairy Products & Eggs,2015 Sep ,96.074,66.965
Dairy Products & Eggs,2016 Apr ,97.521,62.812
Dairy Products & Eggs,2016 Aug ,97.444,60.755
Dairy Products & Eggs,2016 Dec ,97.424,63.24
Dairy Products & Eggs,2016 Feb ,96.909,63.802
Dairy Products & Eggs,2016 Jan ,96.609,64.016
Dairy Products & Eggs,2016 Jul ,97.774,60.475
Dairy Products & Eggs,2016 Jun ,97.572,60.194
Dairy Products & Eggs,2016 Mar ,97.435,63.396
Dairy Products & Eggs,2016 May ,97.59,62.316
Dairy Products & Eggs,2016 Nov ,97.95,62.944
Dairy Products & Eggs,2016 Oct ,97.452,62.679
Dairy Products & Eggs,2016 Sep ,97.698,60.603
Dairy Products & Eggs,2017 Apr ,98.552,64.585
Dairy Products & Eggs,2017 Aug ,97.87,63.492
Dairy Products & Eggs,2017 Dec ,98.194,62.977
Dairy Products & Eggs,2017 Feb ,97.816,65.627
Dairy Products & Eggs,2017 Jan ,97.167,64.584
Dairy Products & Eggs,2017 Jul ,97.926,63.687
Dairy Products & Eggs,2017 Jun ,97.562,64.464
Dairy Products & Eggs,2017 Mar ,97.939,65.691
Dairy Products & Eggs,2017 May ,98.307,64.557
Dairy Products & Eggs,2017 Nov ,98.261,63.16
Dairy Products & Eggs,2017 Oct ,98.151,63.197
Dairy Products & Eggs,2017 Sep ,98.414,63.98
Dairy Products & Eggs,2018 Apr ,99.289,61.607
Dairy Products & Eggs,2018 Aug ,99.256,63.766
Dairy Products & Eggs,2018 Dec ,100.335,63.034
Dairy Products & Eggs,2018 Feb ,100.008,62.355
Dairy Products & Eggs,2018 Jan ,98.766,62.035
Dairy Products & Eggs,2018 Jul ,99.202,63.46
Dairy Products & Eggs,2018 Jun ,99.333,62.838
Dairy Products & Eggs,2018 Mar ,99.089,62.265
Dairy Products & Eggs,2018 May ,99.572,62.418
Dairy Products & Eggs,2018 Nov ,100.237,63.851
Dairy Products & Eggs,2018 Oct ,99.93,64.245
Dairy Products & Eggs,2018 Sep ,99.855,63.697
Dairy Products & Eggs,2019 Apr ,98.683,62.646
Dairy Products & Eggs,2019 Aug ,100.165,65.886
Dairy Products & Eggs,2019 Dec ,99.791,65.779
Dairy Products & Eggs,2019 Feb ,101.524,62.525
Dairy Products & Eggs,2019 Jan ,100.689,62.632
Dairy Products & Eggs,2019 Jul ,99.265,65.509
Dairy Products & Eggs,2019 Jun ,99.158,64.514
Dairy Products & Eggs,2019 Mar ,100.051,62.577
Dairy Products & Eggs,2019 May ,99.252,64.997
Dairy Products & Eggs,2019 Nov ,100.417,66.004
Dairy Products & Eggs,2019 Oct ,100.62,66.169
Dairy Products & Eggs,2019 Sep ,100.387,65.912
Dairy Products & Eggs,2020 Apr ,103.582,68.971
Dairy Products & Eggs,2020 Aug ,102.559,66.25
Dairy Products & Eggs,2020 Dec ,102.025,85.55
